t,S,I,R,beta,delta,contact_rate,infection_prob,I0
62.0,11341.542828672014,0.7055956375904998,9.751575690398436,0.04,0.07142857142857142,2.0,0.02,5
62.25,11341.535779215405,0.7000451721004799,9.764175612498267,0.04,0.07142857142857142,2.0,0.02,5
62.5,11341.528785216668,0.6945383641930066,9.776676419142918,0.04,0.07142857142857142,2.0,0.02,5
62.75,11341.521846239528,0.6890748705443781,9.789078889932078,0.04,0.07142857142857142,2.0,0.02,5
63.0,11341.51496185114,0.683654350529726,9.801383798334657,0.04,0.07142857142857142,2.0,0.02,5
63.25,11341.508131622066,0.678276466201817,9.813591911736973,0.04,0.07142857142857142,2.0,0.02,5
63.5,11341.501355126244,0.6729408822700206,9.825703991490577,0.04,0.07142857142857142,2.0,0.02,5
63.75,11341.494631940965,0.6676472660794414,9.837720792959685,0.04,0.07142857142857142,2.0,0.02,5
64.0,11341.487961646846,0.6623952875902157,9.849643065568246,0.04,0.07142857142857142,2.0,0.02,5
64.25,11341.481343827802,0.6571846193569706,9.861471552846643,0.04,0.07142857142857142,2.0,0.02,5
64.5,11341.474778071019,0.6520149365084429,9.873206992478018,0.04,0.07142857142857142,2.0,0.02,5
64.75,11341.468263966934,0.6468859167272595,9.88485011634424,0.04,0.07142857142857142,2.0,0.02,5
65.0,11341.461801109204,0.6417972402298754,9.896401650571512,0.04,0.07142857142857142,2.0,0.02,5
65.25,11341.455389094683,0.6367485897466694,9.907862315575617,0.04,0.07142857142857142,2.0,0.02,5
65.5,11341.449027523397,0.6317396505021956,9.919232826106807,0.04,0.07142857142857142,2.0,0.02,5
65.75,11341.442715998515,0.6267701101955903,9.930513891294346,0.04,0.07142857142857142,2.0,0.02,5
66.0,11341.436454126333,0.621839658981132,9.941706214690695,0.04,0.07142857142857142,2.0,0.02,5
66.25,11341.43024151624,0.6169479894489549,9.952810494315358,0.04,0.07142857142857142,2.0,0.02,5
66.5,11341.4240777807,0.6120947966059124,9.963827422698374,0.04,0.07142857142857142,2.0,0.02,5
